record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,total,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,,,Sum of total,Column Labels,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53054,0,,,,,1,1,1993,19950420,19950420,3F42001  450474 R,3F42001  450474 H,3F42001  450474 S,S,H,K,,25.84,,N,5000,19372,,,9,89003,5000,257,108632,B,0.0131,300,305,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,LEAVENWORTH HATCHERY,WA,UPCR,WECH,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53059,0,,,,,1,1,1993,19950420,19950420,3F42001  450474 R,3F42001  450474 H,3F42001  450474 S,S,H,K,,28.02,,N,5000,19847,,,9,293419,5000,200,313466,B,0.01,301,100,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,LEAVENWORTH HATCHERY,WA,UPCR,WECH,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53361,0,,,,,1,1,1993,19950420,19950420,3F42001  450474 R,3F42001  450474 H,3F42001  450474 S,S,H,E,,27.52,,N,5000,18342,,,9,5722,5000,1079,25143,B,0.0556,0,306,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,LEAVENWORTH HATCHERY,WA,UPCR,WECH,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53921,0,,,,,1,1,1995,19970417,19970417,3F42001  450474 R,3F42001  450474 H,3F42001  450474 S,S,H,K,,22.84,,N,5000,29799,,,9,74247,5000,295,104341,B,0.0098,139,510,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,LEAVENWORTH HATCHERY,WA,UPCR,WECH,C,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN9396,,,,,,1,3,1993,199405,199405,2FS  GSMSR0287,2FS  GSMSH0287,2FS  LWFRS0107,S,H,B,,4,,N,,,,,0,4000,,,4000,B,,,,,,R-Nicomekl R,H-Nicomekl River H,S-Chilliwack R,BC,GST,GSMS,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,42966,12,,,,,1,,2010,20120523,20120527,1F1SE108 4010150,,1F1SE108 4010150,S,W,,,6.5,79,N,5000,10517,,,0,515259,5000,74,525850,C,0.007,,,,,STIKINE R 108-40,NA,STIKINE R 108-40,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,42967,12,,,,,1,,2010,20120527,20120530,1F1SE108 4010150,,1F1SE108 4010150,S,W,,,5,73,N,5000,1511,,,0,74039,,,75550,,0,,,,,STIKINE R 108-40,NA,STIKINE R 108-40,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,42693,12,,,,,1,1,2012,20130919,20131011,1F1NE115 3210250,,1F1NE115 3210250,G,W,,,3.9,69,N,5000,11337,,,0,135897,,,147234,C,0,,,,,CHILKAT R 115-32,NA,CHILKAT R 115-32,AK,CHIL,CHILG,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,42089,12,,,,,1,1,2009,20110411,20110527,1F1NE115 3210250,,1F1NE115 3210250,S,W,,,,,N,5000,5514,,,0,67039,,,72553,C,0,,,,,CHILKAT R 115-32,NA,CHILKAT R 115-32,AK,CHIL,CHILG,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,92126,11,,,O,051997C017,1,8,1996,19970530,19970530,5F334    0700200000,5F33449  H49    21,5F332    45,S,H,B,,6.53,,N,5002,33555,0,125,2,502,,,34182,,0.018,31,545,,NUMBERS OF CWT RELEASED ARE BASED ON CWT MARK DATA ASSOCIATED NT6415BW,UMATILLA R,UMATILLA HATCHERY,WASHINGTON BRIGHTS,OR,CECR,UMAT,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,91655,0,,,,,1,1,1976,19780307,19780307,5F222    1600200000,5F22204  H4     21,5F222    55,,H,P,,90.72,,,5000,22240,,,5000,134,0,104513,126887,,0.006,142,,,,NORTH UMPQUA R,BUTTE FALLS HATCHERY,UMPQUA R (ROCK CR HT),OR,SOOR,UMPQ,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180981,12,,,,,1,3,2009,20100528,20100528,2FS  SWVIR0104,2FS  SWVIH0104,2FS  SWVIS0104,S,H,P,FR,4.8,,N,5000,15544,,,0,213310,5000,79,228933,B,0.0051,1,400,,,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,BC,WCVI,SWVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180983,12,,,,,1,2,2008,20090610,20090610,2FN  CCSTR0079,2FN  CCSTH0140,2FN  CCSTS0079,S,H,P,,5,,N,5000,23660,,,0,271365,5000,2198,297223,B,0.085,1,200,,ALSO SEE 180488.,R-Atnarko R Low,H-Snootli Creek H,S-Atnarko R Low,BC,COBC,CCST,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180985,12,,,,,1,3,2009,20100428,20100506,2MS  JNSTR0420,2MS  JNSTH0420,2FS  JNSTS0106,S,H,B,FR,5.8,83,N,5000,29567,,,0,169535,5000,40,199142,B,0.0014,14,2197,,,R-Discovery Pass,H-Discovery Passage Seape,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180493,12,,,,,1,3,2009,20100514,20100514,2FS  GSVIR0118,2FS  GSVIH0118,2FS  GSVIS0118,S,H,P,FR,7.3,86,N,5000,58349,,,,,,,58349,C,,1,400,,,R-Cowichan R,H-Cowichan River H,S-Cowichan R,BC,GST,GSVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180993,12,,,,,1,3,2009,20100617,20100617,2FS  LWFRR0229,2FS  LWFRH0154,2FS  LWFRS0229,S,H,P,,5.72,81,N,5000,55581,,,0,14537,,,70118,B,,,,,,R-Harrison R,H-Chehalis River H,S-Harrison R,BC,FRTH,LWFR,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180995,12,,,,,1,3,2009,20100617,20100617,2FS  LWFRR0229,2FS  LWFRH0154,2FS  LWFRS0229,S,H,P,,5.72,81,N,5000,40636,,,0,10628,,,51264,B,,,,,,R-Harrison R,H-Chehalis River H,S-Harrison R,BC,FRTH,LWFR,N,,,,,,,,,,,,
N,4.1,20060425,FWS,FWS,7,!07198000042,,,,,,1,3,1979,19800313,19800315,6FCSABAT CNFH,6FCSABAT CNFH,,F,H,P,,0.65,,N,,,,,9,190000,,,190000,,,,,,,COLEMAN NFH,COLEMAN NFH,NA,CA,SAFA,SACR,C,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,70127,0,,,,,1,8,1992,19930524,19930524,5F334    0700200000,5F33449  H49    21,5F334    95,S,H,E,,6.87,,N,5002,27092,0,94,5002,844,0,241306,269336,,0.033,34,299,,,UMATILLA R,UMATILLA HATCHERY,COLUMBIA R UPRIVER S,OR,CECR,UMAT,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0828,,,,,,1,2,2008,20090612,20090612,2FN  CCSTR0072,2FN  CCSTH0140,2FN  CCSTS0072,S,H,P,,4.8,,N,,,,,0,11544,,,11544,B,,,,,,R-Salloomt R,H-Snootli Creek H,S-Salloomt R,BC,COBC,CCST,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,41283,12,,,,,1,,2006,20071004,20071008,1F1SE101 7510300,,1F1SE101 7510300,G,W,,,,,N,5000,11716,,,0,378813,,,390529,,0,,,,,UNUK R 101-75,NA,UNUK R 101-75,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,71649,0,,,,,1,1,1977,19790301,19790301,5F222    1600200000,5F22208  H8     21,5F222    55,,H,E,,88.94,,,5000,22560,,,5000,383,0,122284,145227,,0.017,148,,,,NORTH UMPQUA R,COLE RIVERS HATCHERY,UMPQUA R (ROCK CR HT),OR,SOOR,UMPQ,N,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52251,0,,,,,1,1,1989,19910415,19910415,3F42001  450474 R,3F42001  450474 H,3F42001  290023 S,S,H,K,,25.94,,N,5000,46076,,,9,513933,5000,4500,564509,B,0.089,143,562,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,WIND R       29.0023,WA,UPCR,WECH,C,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0835,,,,,,1,3,2008,20090519,20090519,2MS  NWVIR6390,2MS  NWVIH6390,2FS  NWVIS0086,S,H,B,,6.7,82,N,,,,,0,34270,,,34270,B,,,,,,R-Tlupana Est,H-Tlupana Estuary Seapen,S-Tlupana R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0836,,,,,,1,3,2008,20090520,20090520,2FS  NWVIR0087,2FS  NWVIH0117,2FS  NWVIS0087,S,H,P,,5.1,77,N,,,,,0,8948,,,8948,B,,,,,,R-Sucwoa R,H-Conuma River H,S-Sucwoa R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0840,,,,,,1,3,2008,20090525,20090527,2MS  NWVIR1381,2MS  NWVIH1381,2FS  NWVIS0117,S,H,B,,8.8,91,N,,,,,0,946773,,,946773,B,,,,,,R-Conuma Est,H-Conuma Estuary Seapen,S-Conuma R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20060425,FWS,FWS,7,!07198700098,,,,,,1,3,1986,19870503,19870503,6FCSASAF BLRB,6FCSABAT CNFH,,G,H,P,,6.74,,N,,,,,9,108752,,,108752,,,,,,,SAC R BEL RBDD,COLEMAN NFH,NA,CA,SAFA,SACR,C,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,181591,0,,,,,1,3,2010,20110802,20110802,2FS  GSVIR0100,2FS  GSVIH0100,2FS  GSVIS0100,S,H,E,VO,20.89,,N,5000,56869,,,5000,964,,,57833,B,0.0167,3,300,,Experimental late summer release.,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03AD0797,16,,,,,1,1,2007,20080601,20080626,2FN  YUKNR1973,2FN  YUKNH0959,2FN  YUKNS0959,F,H,P,,2.97,,N,,,,,5000,10939,,,10939,,,,,,(Psuedo Tag Total: 10939) -,R-Wolf Cr/YUKN,H-Yukon River H,S-Yukon R,BC,UPYR,UPYRG,N,,,,,,,,,,,,
T,4.1,20060803,CDFW,CDFW,8,62562,12,,,,,1,3,2003,20040507,20040507,6FCSAAMN FOLK,6FCSAAMN NBFH,6FCSAAMN,V,H,E,,8.89,,N,5000,33714,,,5000,4557,,,38271,,0.1191,21,400,,,FOLSOM LAKE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,C,,,,,,,,,,,,
T,4.1,20060803,CDFW,CDFW,8,62563,12,,,,,1,3,2003,20040507,20040507,6FCSAAMN FOLK,6FCSAAMN NBFH,6FCSAAMN,V,H,E,,8.89,,N,5000,10626,,,5000,1442,,,12068,,0.1195,21,200,,,FOLSOM LAKE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,C,,,,,,,,,,,,
T,4.1,20060803,CDFW,CDFW,8,62565,12,,,,,1,3,2003,20040507,20040507,6FCSAAMN FOLK,6FCSAAMN NBFH,6FCSAAMN,V,H,E,,8.89,,N,5000,18528,,,5000,420,,,18948,,0.0222,21,200,,,FOLSOM LAKE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,C,,,,,,,,,,,,
T,4.1,20060803,CDFW,CDFW,8,62566,12,,,,,1,3,2003,20040507,20040507,6FCSAAMN FOLK,6FCSAAMN NBFH,6FCSAAMN,V,H,E,,8.89,,N,5000,18758,,,5000,424,,,19182,,0.0221,21,200,,,FOLSOM LAKE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53041,0,,,,,1,1,1992,19940420,19940420,3F42001  450474 R,3F42001  450474 H,3F42001  450474 S,S,H,K,,24.3,,N,5000,17593,,,9,108149,5000,871,126613,B,0.0472,294,,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,LEAVENWORTH HATCHERY,WA,UPCR,WECH,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52917,0,,,,,1,1,1991,19930422,19930422,3F42001  450474 R,3F42001  450474 H,3F42001  290023 S,S,H,K,,22.03,,N,5000,12723,,,9,11493,5000,581,24797,B,0.0437,328,229,,,ICICLE CR    45.0474,LEAVENWORTH HATCHERY,WIND R       29.0023,WA,UPCR,WECH,C,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,41551,12,,,,,1,1,2006,20080509,20080520,1F1SE108 4010150,,1F1SE108 4010150,S,W,O,,4.1,,N,5000,11268,,,0,1013072,5000,23,1024363,,0.002,,,,,STIKINE R 108-40,NA,STIKINE R 108-40,AK,STUN,STUNG,N,,,,,,,,,,,,
N,4.1,20060425,FWS,FWS,7,!07197600144,,,,,,1,3,1975,19761020,19761020,6FCSJMOK GESL,6FCSABAT CNFH,,S,H,P,,13.83,,N,,,,,9,45962,,,45962,,,,,,,MOK R GEORGIANNA SLOUGH,COLEMAN NFH,NA,CA,SJOA,MOKE,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,51642,0,,,,,1,3,1991,19920305,19920521,3F42001  290159 R,3F42001  290159 H,3F42001  290159 S,G,H,B,,6.58,,N,5000,20259,,,9,239171,5000,2320,261750,B,0.1028,47,185,,,SPRING CR    29.0159,SPRING CR NFH,SPRING CR    29.0159,WA,CECR,WIND,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,50901,0,,,,,1,3,1974,19750430,19750430,3F42001  290159 R,3F42001  290159 H,3F42001  290159 S,G,H,K,,4.32,,N,5000,98698,,,9,5280010,,,5378708,,,,,,,SPRING CR    29.0159,SPRING CR NFH,SPRING CR    29.0159,WA,CECR,WIND,C,,,,,,,,,,,,
T,4.1,20060830,FWS,NMFS,7,50340,0,,,,,1,3,1977,19780813,19780818,3F42001  290159 R,3F42001  290159 H,3F42001  290159 S,S,H,P,,28.38,,N,5000,52092,,,9,361942,5000,740,414774,,0.014,45,,,,SPRING CR    29.0159,SPRING CR NFH,SPRING CR    29.0159,WA,CECR,WIND,C,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,51656,0,,,,,1,3,1992,19930318,19930520,3F42001  290159 R,3F42001  290159 H,3F42001  290159 S,G,H,K,,5.18,,N,5000,23654,,,9,328542,,,352196,B,0,8,299,,,SPRING CR    29.0159,SPRING CR NFH,SPRING CR    29.0159,WA,CECR,WIND,C,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,41782,12,,,,,1,1,2007,20090521,20090526,1F1SE108 4010150,,1F1SE108 4010150,S,W,,,,,,5000,6821,,,0,303228,,,310049,,0,,,,,STIKINE R 108-40,NA,STIKINE R 108-40,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,41540,12,,,,,1,1,2014,20150929,20151020,1F1SE101 7510300,,1F1SE101 7510300,G,W,K,,3.6,69,N,5000,10513,,,5000,11,,,10524,,0.001,,,,,UNUK R 101-75,NA,UNUK R 101-75,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,43064,12,,,,,1,1,2011,20130420,20130514,1F1NE111 3210320,,1F1NE111 3210320,S,W,,,4.2,73,N,5000,11914,,,0,904487,5000,60,916461,C,0.005,0,,,,TAKU R 111-32,NA,TAKU R 111-32,AK,TAWH,TAWHG,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,75103,0,,,,,1,1,1988,19891013,19891013,5F334    0700240000,5F33201  H1     21,5F335    81,S,H,E,,36.61,,N,5000,27137,0,60,5000,90,,,27287,W,0.003,69,,,,MEACHAM CR (UMATILLA,BONNEVILLE HATCHERY,LOOKINGGLASS CR,OR,CECR,UMAT,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,OAF,5,603654,0,,,,,1,3,1983,19841115,19841115,5M221    231,5F22101  H1     23,5F221    OAF,,H,E,,137.45,,,5000,9831,,,5000,87,,,9918,W,0.009,77,,,,SOUTH BEACH - OAF,ORE-AQUA FOODS/YAQUI,ORE-AQUA FOODS,OR,NOOR,SIYA,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,70660,0,,,,,1,1,1993,19950313,19950313,5F334    0700200000,5F33449  H49    21,5F334    75,S,H,B,,31.92,,N,5002,23607,0,100,2,51028,,,74735,,0.123,67,269,,100% RV CLIP ACC & RELEASED AT RM 80,UMATILLA R,UMATILLA HATCHERY,CARSON (WASH),OR,CECR,UMAT,N,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,52063,0,,,,,1,1,1988,19890927,19900411,5F334    0500210000,5F33407  H7     22,5F334    102,S,H,I,,25.96,,N,5000,20598,,,2,18001,5000,5040,43639,W,0.1966,355,93,,UNtagged FISH GIVEN RV CLIP,WARM SPRINGS R,WARM SPRINGS NFH,WARM SPRINGS R,OR,CECR,DESC,C,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,52341,0,,,,,1,1,1989,19900926,19910417,5F334    0500210000,5F33407  H7     22,5F334    102,S,H,B,,36.16,,N,5000,23650,,,1,6613,5000,1200,31463,B,0.0483,163,60,,UNtagged FISH GIVEN LV CLIP,WARM SPRINGS R,WARM SPRINGS NFH,WARM SPRINGS R,OR,CECR,DESC,C,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,52339,0,,,,,1,1,1989,19900926,19910417,5F334    0500210000,5F33407  H7     22,5F334    102,S,H,B,,41.09,,N,5000,23188,,,1,8097,5000,1837,33122,B,0.0734,161,40,,UNtagged FISH GIVEN LV CLIP,WARM SPRINGS R,WARM SPRINGS NFH,WARM SPRINGS R,OR,CECR,DESC,C,,,,,,,,,,,,
T,4.1,20050908,FWS,FWS,7,50785,12,,,,,1,3,2001,20020715,20020718,3F21702  210429 R,3F21702  210429 H,3F21702  210398 S,G,H,K,FR,7.77,,N,5000,47429,,,0,34701,5000,2813,84943,B,0.056,,500,,QUIN000430,COOK CR      21.0429,QUINAULT NFH -COOK C,QUINAULT R   21.0398,WA,NWC,QEQU,C,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,12,312552,0,,,,,1,,1996,19970629,19970730,1F2UC244 2010100,,1F2UC244 2010100,G,W,,,,,W,5000,2484,,,,,,,2484,,0,1,,,FULL LENGTH CODE CUT AS HALF LENGTH WIRE.,DEEP CR 244-20,NA,DEEP CR 244-20,AK,CEAK,UCI,N,,,,,,,,,,,,
T,4.1,20050908,FWS,FWS,7,50786,12,,,,,1,3,2001,20020715,20020718,3F21702  210429 R,3F21702  210429 H,3F21702  210398 S,G,H,K,FR,7.77,,N,5000,49720,,,0,36925,5000,3742,90387,B,0.07,,500,,QUIN000430,COOK CR      21.0429,QUINAULT NFH -COOK C,QUINAULT R   21.0398,WA,NWC,QEQU,C,,,,,,,,,,,,
T,4.1,20050908,FWS,FWS,7,50787,12,,,,,1,3,2001,20020715,20020718,3F21702  210429 R,3F21702  210429 H,3F21702  210398 S,G,H,K,FR,7.77,,N,5000,45477,,,0,34067,5000,3847,83391,B,0.078,,500,,QUIN000430,COOK CR      21.0429,QUINAULT NFH -COOK C,QUINAULT R   21.0398,WA,NWC,QEQU,C,,,,,,,,,,,,
T,4.1,20050908,FWS,FWS,7,50788,12,,,,,1,3,2001,20020715,20020718,3F21702  210429 R,3F21702  210429 H,3F21702  210398 S,G,H,K,FR,7.77,,N,5000,49309,,,0,35110,5000,1525,85944,B,0.03,,500,,QUIN000430,COOK CR      21.0429,QUINAULT NFH -COOK C,QUINAULT R   21.0398,WA,NWC,QEQU,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53219,0,,,,,1,1,1992,19940414,19940414,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,23.8,,N,5000,58974,,,9,125551,5000,3231,187756,B,0.0519,280,308,,INAD-21 DAY AQUAMYCIN,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,53156,0,,,,,1,1,1992,19940408,19940408,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,28.9,,N,5300,66014,,,300,1586,5300,2042,69642,B,0.03,279,200,,"SERIAL RELEASE, ALL FREEZE BRANDED WITH ROTATIONS OF RA U-?",DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52439,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,22.9,,N,5000,15842,,,9,1516,5000,323,17681,B,0.02,122,300,,LOW DENSITY,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,40977,12,,,,,1,,2003,20040920,20041004,1F1SE101 7510300,,1F1SE101 7510300,G,W,,,2.9,61,N,5000,11789,,,0,128559,,,140348,,0,,,,,UNUK R 101-75,NA,UNUK R 101-75,AK,STUN,STUNG,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,71234,0,,,,,1,1,1994,19960405,19960405,5F335    0800440000,5F33539  H39    21,5F*335   85,S,H,B,,22,,N,5002,32997,0,199,5002,1590,,,34786,,0.0457,258,350,,,LOOKINGGLASS CR,LOOKINGGLASS HATCH,ID RAPID R IDAHO,OR,SNAK,GRIA,N,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,53157,0,,,,,1,1,1992,19940422,19940422,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,27.8,,N,5300,61840,,,300,18867,5300,3947,84654,B,0.06,276,100,,"SERIAL RELEASE, ALL FREEZE BRANDED WITH ROTATIONS OF RD U-?",DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060425,FWS,FWS,7,53158,0,,,,,1,1,1992,19940506,19940506,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,E,,31.9,,N,5300,68211,,,300,4179,5300,2110,74500,B,0.03,308,100,,"SERIAL RELEASE, ALL FREEZE BRANDED WITH ROTATIONS OF RD T-?",DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52442,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,20.15,,N,5000,32742,,,9,1936,5000,668,35346,B,0.02,130,300,,MEDIUM DENSITY,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52447,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,20.25,,N,5000,47668,,,9,124959,5000,973,173600,B,0.02,134,300,,NORMAL DENSITY,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53205,0,,,,,1,1,1992,19940414,19940414,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,24.9,,N,5000,59281,,,9,125546,5000,4234,189061,B,0.0667,263,300,,INAD-21 DAY GALLAMYCIN,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53207,0,,,,,1,1,1993,19950414,19950414,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,29.6,,N,5000,69115,,,9,1023,5000,2880,73018,B,0.04,269,300,,ERYTHROMYCIN INAD,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52445,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,23,,N,5000,32903,,,9,165,5000,332,33400,B,0.01,135,300,,MEDIUM DENSITY,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,103025,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,19.3,,N,5000,52664,,,9,124834,5000,694,178192,B,0.013,122,300,,NORMAL DENSITY,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52512,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,E,,24.4,,W,5000,23832,,,9,1315,5000,2560,27707,B,0.097,114,300,,PROGENY OF HIGH BKD PARENTS HIGH MORTALITY RATE,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52509,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,E,,20,,N,5000,37471,,,9,4668,5000,378,42517,B,0.01,119,300,,PROGENY OF LOW BKD PARENTS,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,53218,0,,,,,1,1,1992,19940414,19940414,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,B,,23.8,,N,5000,60008,,,9,125519,5000,1825,187352,B,0.0295,280,305,,INAD-21 DAY AQUAMYCIN,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
T,4.1,20060830,FWS,FWS,7,52511,0,,,,,1,1,1989,19910404,19910404,4F-1706030800100.10,4F-1706030800100.10,4F1-17060308001-HUU,S,H,E,,24.5,,W,5000,28455,,,9,1250,5000,1093,30798,B,0.037,113,300,,PROGENY OF HIGH BKD PARENTS HIGH MORTALITY RATE,DWORSHAK NAT. HATCH,DWORSHAK NAT. HATCH,DWORSHAK,ID,SNAK,CLEA,C,,,,,,,,,,,,
