	Analysis Date	Sample	Museum	Sample ID	Analysis #	Amount (mg)	Comments		PeakArea N (Vs)	N quantity (ug)	Percent N Accuracy	Percent N Precision	d15N vs Air N2 (permil)	d15N Accuracy	d15N Precision		PeakArea C (Vs)	C quantity (ug)	Percent C Accuracy	Percent C Precision	d13C vs VPDB (permil)	d13C Accuracy	d13C Precision
	20190208	2_C11	UA	11770_UA	100690	0.318		 	202.9403	46.0013	-0.23499	0.24249	16.713	-0.032242	0.055905	 	102.47	129.275	-0.71865	0.79719	-13.4265	0.089236	0.098025
	20190208	2_C12	UA	84950_UA	100691	0.317	"smaller peak area, expect reduced precision"	 	60.7283	13.712	-0.23499	0.24249	17.7951	-0.032242	0.055905	 	38.428	48.548	-0.71865	0.79719	-15.1774	0.089236	0.098025
	20190208	2_D1	UA	11740_UA	100692	0.314		 	185.0383	41.9367	-0.23499	0.24249	15.971	-0.032242	0.055905	 	91.779	115.7986	-0.71865	0.79719	-13.7008	0.089236	0.098025
	20190208	2_D2	UA	11738_UA	100693	0.309		 	193.1003	43.7671	-0.23499	0.24249	16.215	-0.032242	0.055905	 	95.946	121.0512	-0.71865	0.79719	-13.7299	0.089236	0.098025
	20190208	2_D3	UA	28950_UA	100694	0.315		 	199.6073	45.2446	-0.23499	0.24249	17.0457	-0.032242	0.055905	 	98.336	124.0639	-0.71865	0.79719	-13.6715	0.089236	0.098025
	20190208	2_D4	UA	11920_UA	100698	0.315		 	199.2013	45.1524	-0.23499	0.24249	16.1103	-0.032242	0.055905	 	102.119	128.8325	-0.71865	0.79719	-14.8142	0.089236	0.098025
	20190208	2_D5	UA	35445_UA	100699	0.304		 	167.8443	38.0328	-0.23499	0.24249	16.7023	-0.032242	0.055905	 	84.398	106.4946	-0.71865	0.79719	-13.9779	0.089236	0.098025
	20190208	2_D6	UA	11475_UA	100700	0.309		 	195.9723	44.4192	-0.23499	0.24249	17.2376	-0.032242	0.055905	 	97.611	123.15	-0.71865	0.79719	-12.9576	0.089236	0.098025
	20190208	2_D7	UA	35446_UA	100701	0.316		 	202.6213	45.9289	-0.23499	0.24249	17.5925	-0.032242	0.055905	 	100.837	127.2165	-0.71865	0.79719	-13.7989	0.089236	0.098025
	20190208	2_D8	UA	11816_UA	100702	0.307		 	182.2673	41.3075	-0.23499	0.24249	16.5144	-0.032242	0.055905	 	99.455	125.4745	-0.71865	0.79719	-14.2481	0.089236	0.098025
	20190208	2_D9	UA	11816_UA_2	100703	0.305		 	178.4463	40.44	-0.23499	0.24249	16.6574	-0.032242	0.055905	 	98.771	124.6123	-0.71865	0.79719	-14.425	0.089236	0.098025
	20190208	2_D10	UA	35442_UA	100704	0.31		 	189.6663	42.9875	-0.23499	0.24249	16.7648	-0.032242	0.055905	 	95.003	119.8626	-0.71865	0.79719	-14.6612	0.089236	0.098025
	20190208	2_D11	UA	11742_UA	100708	0.303		 	192.4753	43.6252	-0.23499	0.24249	16.7096	-0.032242	0.055905	 	95.779	120.8407	-0.71865	0.79719	-13.4086	0.089236	0.098025
	20190208	2_D12	UA	84943_UA	100709	0.309		 	185.8393	42.1185	-0.23499	0.24249	17.028	-0.032242	0.055905	 	96.117	121.2668	-0.71865	0.79719	-14.0599	0.089236	0.098025
	20190208	2_E1	UA	11774_UA	100710	0.313		 	195.3923	44.2875	-0.23499	0.24249	16.7945	-0.032242	0.055905	 	99.483	125.5098	-0.71865	0.79719	-13.4397	0.089236	0.098025
	20190208	2_E2	UA	35437_UA	100711	0.313		 	178.6273	40.481	-0.23499	0.24249	16.8447	-0.032242	0.055905	 	93.305	117.7222	-0.71865	0.79719	-14.4468	0.089236	0.098025
	20190208	2_E3	UA	99693_UA	100712	0.314		 	203.3703	46.099	-0.23499	0.24249	17.1331	-0.032242	0.055905	 	101.4	127.9262	-0.71865	0.79719	-14.2467	0.089236	0.098025
	20190208	2_E4	UA	87032_UA	100713	0.318		 	197.7973	44.8336	-0.23499	0.24249	17.2477	-0.032242	0.055905	 	100.074	126.2547	-0.71865	0.79719	-14.4095	0.089236	0.098025
	20190208	2_E5	UA	99575_UA	100714	0.306		 	192.1363	43.5483	-0.23499	0.24249	18.0476	-0.032242	0.055905	 	95.27	120.1991	-0.71865	0.79719	-14.2496	0.089236	0.098025
	20190208	2_E6	UA	99641_UA	100715	0.303		 	192.3023	43.586	-0.23499	0.24249	16.9496	-0.032242	0.055905	 	95.759	120.8155	-0.71865	0.79719	-13.8314	0.089236	0.098025
	20190215	2_E7	UA	35438_UA	100937	0.309		 	193.485	45.7495	-0.0735	0.097328	17.7283	-0.066541	0.070404	 	100.148	129.4221	0.015231	0.16103	-14.4945	-0.025849	0.049792
	20190215	2_E8	UA	35438_UA_2	100938	0.315		 	194.996	46.0974	-0.0735	0.097328	17.7454	-0.066541	0.070404	 	101.051	130.5701	0.015231	0.16103	-14.5447	-0.025849	0.049792
	20190215	2_E9	UA	5260_UA	100939	0.305		 	189.424	44.8145	-0.0735	0.097328	17.4482	-0.066541	0.070404	 	99.253	128.2842	0.015231	0.16103	-14.2705	-0.025849	0.049792
	20190215	2_E10	UA	110372_UA	100940	0.306		 	171.515	40.6914	-0.0735	0.097328	15.8681	-0.066541	0.070404	 	87.707	113.6048	0.015231	0.16103	-14.9324	-0.025849	0.049792
	20190215	2_E11	UA	35440_UA	100941	0.305		 	164.968	39.1841	-0.0735	0.097328	17.6696	-0.066541	0.070404	 	86.752	112.3906	0.015231	0.16103	-14.6401	-0.025849	0.049792
	20190215	2_E12	UA	11836_UA	100942	0.3		 	175.029	41.5004	-0.0735	0.097328	16.7699	-0.066541	0.070404	 	99.874	129.0737	0.015231	0.16103	-14.7285	-0.025849	0.049792
	20190215	2_F1	UA	11921_UA	100943	0.298		 	180.688	42.8033	-0.0735	0.097328	16.825	-0.066541	0.070404	 	92.728	119.9884	0.015231	0.16103	-13.8686	-0.025849	0.049792
	20190215	2_F2	UA	35449_UA	100944	0.303		 	192.876	45.6093	-0.0735	0.097328	17.6873	-0.066541	0.070404	 	97.432	125.969	0.015231	0.16103	-13.6245	-0.025849	0.049792
	20190215	2_F3	UA	11817_UA	100948	0.312		 	186.626	44.1704	-0.0735	0.097328	16.3531	-0.066541	0.070404	 	99.462	128.5499	0.015231	0.16103	-13.9599	-0.025849	0.049792
	20190215	2_F4	UA	3702_UA	100949	0.318		 	173.901	41.2408	-0.0735	0.097328	18.4749	-0.066541	0.070404	 	92.24	119.368	0.015231	0.16103	-13.309	-0.025849	0.049792
	20190215	2_F5	UA	11921_UA	100950	0.314		 	160.555	38.1682	-0.0735	0.097328	18.0371	-0.066541	0.070404	 	83.777	108.6082	0.015231	0.16103	-13.3542	-0.025849	0.049792
	20190215	2_F6	UA	11771_UA	100951	0.31		 	187	44.2565	-0.0735	0.097328	16.538	-0.066541	0.070404	 	96.843	125.2201	0.015231	0.16103	-13.2065	-0.025849	0.049792
	20190215	2_F7	UA	11771_UA_2	100952	0.305		 	183.52	43.4553	-0.0735	0.097328	16.3412	-0.066541	0.070404	 	95.225	123.163	0.015231	0.16103	-13.2025	-0.025849	0.049792
	20190215	2_F8	UA	19161_UA	100953	0.311		 	146.484	34.9287	-0.0735	0.097328	19.7269	-0.066541	0.070404	 	74.138	96.3534	0.015231	0.16103	-11.8283	-0.025849	0.049792
	20190215	2_F9	UA	52184_UA	100954	0.318		 	195.2	46.1443	-0.0735	0.097328	19.7202	-0.066541	0.070404	 	100.073	129.3267	0.015231	0.16103	-13.4857	-0.025849	0.049792
	20190215	2_F10	UA	87056_UA	100958	0.312		 	195.243	46.1542	-0.0735	0.097328	20.6389	-0.066541	0.070404	 	99.642	128.7787	0.015231	0.16103	-12.6157	-0.025849	0.049792
	20190215	2_F11	UA	28938_UA	100959	0.315		 	176.28	41.7885	-0.0735	0.097328	20.2015	-0.066541	0.070404	 	92.881	120.1829	0.015231	0.16103	-12.0964	-0.025849	0.049792
	20190215	2_F12	UA	28941_UA	100960	0.311		 	190.832	45.1387	-0.0735	0.097328	18.5995	-0.066541	0.070404	 	98.597	127.4501	0.015231	0.16103	-12.5614	-0.025849	0.049792
	20190215	2_G1	UA	87054_UA	100961	0.309		 	193.118	45.665	-0.0735	0.097328	20.2229	-0.066541	0.070404	 	98.835	127.7527	0.015231	0.16103	-13.0446	-0.025849	0.049792
	20190215	2_G2	UA	11827_UA	100962	0.307		 	188.474	44.5958	-0.0735	0.097328	17.4308	-0.066541	0.070404	 	98.179	126.9187	0.015231	0.16103	-12.9853	-0.025849	0.049792
	20190215	2_G3	UA	11747_UA	100963	0.308		 	191.888	45.3818	-0.0735	0.097328	16.6759	-0.066541	0.070404	 	98.609	127.4654	0.015231	0.16103	-13.8089	-0.025849	0.049792
	20190215	2_G4	UA	35447_UA	100964	0.313		 	179.816	42.6025	-0.0735	0.097328	16.7039	-0.066541	0.070404	 	97.889	126.55	0.015231	0.16103	-15.4261	-0.025849	0.049792
	20190215	2_G5	UA	19159_UA	100968	0.306		 	189.926	44.9301	-0.0735	0.097328	20.4049	-0.066541	0.070404	 	97.18	125.6486	0.015231	0.16103	-11.6924	-0.025849	0.049792
	20190215	2_G6	UA	19159_UA_2	100969	0.315		 	196.231	46.3817	-0.0735	0.097328	20.5113	-0.066541	0.070404	 	99.969	129.1945	0.015231	0.16103	-11.7788	-0.025849	0.049792
	20190215	2_G7	UA	84958_UA	100970	0.302		 	146.892	35.0226	-0.0735	0.097328	15.283	-0.066541	0.070404	 	79.381	103.0192	0.015231	0.16103	-15.8971	-0.025849	0.049792
	20190215	2_G8	UA	35450_UA	100971	0.309		 	144.463	34.4634	-0.0735	0.097328	16.7397	-0.066541	0.070404	 	76.2	98.9749	0.015231	0.16103	-14.5832	-0.025849	0.049792
	20190215	2_G9	UA	28949_UA	100972	0.307		 	135.267	32.3462	-0.0735	0.097328	15.8882	-0.066541	0.070404	 	71.993	93.6262	0.015231	0.16103	-15.0513	-0.025849	0.049792
	20190215	2_G10	UA	28940_UA	100973	0.301		 	176.945	41.9416	-0.0735	0.097328	19.9807	-0.066541	0.070404	 	91.721	118.7081	0.015231	0.16103	-11.7847	-0.025849	0.049792
	20190215	2_G11	UA	28942_UA	100974	0.31		 	175.124	41.5223	-0.0735	0.097328	19.993	-0.066541	0.070404	 	92.767	120.038	0.015231	0.16103	-12.6505	-0.025849	0.049792
	20190215	2_G12	UA	42810_UA	100975	0.306		 	178.889	42.3891	-0.0735	0.097328	19.6063	-0.066541	0.070404	 	95.84	123.9449	0.015231	0.16103	-12.9398	-0.025849	0.049792
	20190216	2_H1	UA	19173_UA	100989	0.317		 	203.993	48.4735	-0.074138	0.051019	20.248	0.0026013	0.1134	 	104.204	134.7023	0.019065	0.17638	-12.8453	0.039682	0.019811
	20190216	2_H2	UA	28934_UA	100990	0.306		 	181.171	43.2444	-0.074138	0.051019	19.3372	0.0026013	0.1134	 	96.527	124.9758	0.019065	0.17638	-13.0426	0.039682	0.019811
	20190216	2_H3	UA	52183_UA	100991	0.304		 	191.694	45.6555	-0.074138	0.051019	17.5393	0.0026013	0.1134	 	98.988	128.0938	0.019065	0.17638	-13.967	0.039682	0.019811
	20190216	2_H4	UA	42152_UA	100992	0.315		 	199.491	47.442	-0.074138	0.051019	19.9123	0.0026013	0.1134	 	104.741	135.3827	0.019065	0.17638	-13.0812	0.039682	0.019811
	20190216	2_H5	UA	42152_UA_2	100993	0.313		 	198.562	47.2291	-0.074138	0.051019	20.0173	0.0026013	0.1134	 	103.182	133.4075	0.019065	0.17638	-13.002	0.039682	0.019811
	20190216	2_H6	UA	28939_UA	100994	0.318		 	184.648	44.041	-0.074138	0.051019	20.5143	0.0026013	0.1134	 	95	123.0411	0.019065	0.17638	-11.8216	0.039682	0.019811
	20190216	2_H7	UA	28943_UA	100995	0.304		 	182.412	43.5287	-0.074138	0.051019	19.4857	0.0026013	0.1134	 	97.278	125.9273	0.019065	0.17638	-12.5438	0.039682	0.019811
	20190216	2_H8	UA	19174_UA	100996	0.308		 	183.982	43.8884	-0.074138	0.051019	18.5015	0.0026013	0.1134	 	97.624	126.3657	0.019065	0.17638	-14.1078	0.039682	0.019811
	20190216	2_H9	UA	19172_UA	101000	0.301		 	174.644	41.7489	-0.074138	0.051019	19.3342	0.0026013	0.1134	 	91.252	118.2925	0.019065	0.17638	-13.1271	0.039682	0.019811
	20190216	2_H10	UA	28937_UA	101001	0.308		 	163.88	39.2826	-0.074138	0.051019	20.3773	0.0026013	0.1134	 	86.67	112.4873	0.019065	0.17638	-12.0433	0.039682	0.019811
	20190216	2_H11	UA	11457_UA	101002	0.315		 	116.401	28.4039	-0.074138	0.051019	20.6515	0.0026013	0.1134	 	69.474	90.7005	0.019065	0.17638	-13.2382	0.039682	0.019811
	20190216	2_H12	UA	84959_UA	101003	0.307		 	172.764	41.3181	-0.074138	0.051019	16.7556	0.0026013	0.1134	 	92.562	119.9523	0.019065	0.17638	-14.3023	0.039682	0.019811
	20190216	3_A1	UA	28935_UA	101004	0.302		 	178.451	42.6211	-0.074138	0.051019	18.9912	0.0026013	0.1134	 	94.228	122.063	0.019065	0.17638	-12.9681	0.039682	0.019811
	20190216	3_A2	UA	28935_UA	101005	0.302		 	180.153	43.0111	-0.074138	0.051019	19.1445	0.0026013	0.1134	 	93.025	120.5389	0.019065	0.17638	-12.6304	0.039682	0.019811
	20190216	3_A3	UA	28935_UA	101006	0.307		 	195.485	46.5241	-0.074138	0.051019	17.8114	0.0026013	0.1134	 	100.984	130.6227	0.019065	0.17638	-14.2255	0.039682	0.019811
	20190216	3_A4	UA	28935_UA	101010	0.302		 	187.538	44.7032	-0.074138	0.051019	17.5432	0.0026013	0.1134	 	96.29	124.6755	0.019065	0.17638	-14.1952	0.039682	0.019811
	20190216	3_A5	UA	28935_UA	101011	0.316		 	184.629	44.0367	-0.074138	0.051019	19.511	0.0026013	0.1134	 	98.738	127.7771	0.019065	0.17638	-13.3326	0.039682	0.019811
	20190216	3_A6	UA	28935_UA	101012	0.311		 	196.529	46.7633	-0.074138	0.051019	19.6818	0.0026013	0.1134	 	100.413	129.8993	0.019065	0.17638	-11.8545	0.039682	0.019811
	20190216	3_B1	UA	28935_UA	101013	0.311		 	193.586	46.089	-0.074138	0.051019	20.201	0.0026013	0.1134	 	99.824	129.153	0.019065	0.17638	-12.087	0.039682	0.019811
	20190216	3_B2	UA	28935_UA	101014	0.305		 	192.187	45.7684	-0.074138	0.051019	20.1751	0.0026013	0.1134	 	98.74	127.7796	0.019065	0.17638	-11.9112	0.039682	0.019811
	20190216	3_B3	UA	28935_UA	101015	0.311		 	150.386	36.1907	-0.074138	0.051019	19.497	0.0026013	0.1134	 	78.077	101.6002	0.019065	0.17638	-13.1303	0.039682	0.019811
	20190216	3_B4	UA	28935_UA	101016	0.301		 	173.039	41.3811	-0.074138	0.051019	17.1481	0.0026013	0.1134	 	92.15	119.4303	0.019065	0.17638	-12.5804	0.039682	0.019811
	20190216	3_B5	UA	28935_UA	101020	0.307		 	141.892	34.2445	-0.074138	0.051019	16.1952	0.0026013	0.1134	 	75.668	98.5481	0.019065	0.17638	-14.502	0.039682	0.019811
	20190216	3_B6	UA	85206_UA	101021	0.304		 	131.929	31.9618	-0.074138	0.051019	17.3782	0.0026013	0.1134	 	75.532	98.3758	0.019065	0.17638	-14.5575	0.039682	0.019811
	20190216	3_C1	UA	11743_UA	101022	0.314		 	132.045	31.9883	-0.074138	0.051019	16.5519	0.0026013	0.1134	 	69.486	90.7157	0.019065	0.17638	-13.4465	0.039682	0.019811
	20190216	3_C2	UA	11743_UA_2	101023	0.308		 	135.599	32.8026	-0.074138	0.051019	16.5952	0.0026013	0.1134	 	71.243	92.9417	0.019065	0.17638	-13.3823	0.039682	0.019811
	20190216	4_A1	std	L-Proline_1	101024	0.198		 	95.376	23.5865	-0.074138	0.051019	-6.8999	0.0026013	0.1134	 	79.754	103.7249	0.019065	0.17638	-12.4664	0.039682	0.019811
	20190216	4_B1	std	L-Proline_2	101025	0.208		 	98.338	24.2652	-0.074138	0.051019	-6.8625	0.0026013	0.1134	 	81.708	106.2006	0.019065	0.17638	-12.3973	0.039682	0.019811
	20190216	4_C2	std	L-Proline_3	101026	0.214		 	111.339	27.2441	-0.074138	0.051019	-6.9095	0.0026013	0.1134	 	91.873	119.0793	0.019065	0.17638	-12.5	0.039682	0.019811
	20190216	4_D1	std	L-Proline_4	101027	0.2		 	88.361	21.9792	-0.074138	0.051019	-6.9134	0.0026013	0.1134	 	73.863	96.2612	0.019065	0.17638	-12.4268	0.039682	0.019811
	20190217	4_E1	std	L-Proline_5	101041	0.208		 	101.4817	24.3184	-0.098113	0.080288	-6.9332	-0.044544	0.095838	 	82.918	106.9117	0.25883	0.26313	-12.4657	0.031	0.055203
	20190217	4_F1	std	L-Proline_6	101042	0.207		 	104.2277	24.9376	-0.098113	0.080288	-6.9532	-0.044544	0.095838	 	85.077	109.6374	0.25883	0.26313	-12.4723	0.031	0.055203
	20190217	4_G1	std	L-Proline_7	101043	0.214		 	101.9197	24.4172	-0.098113	0.080288	-6.9044	-0.044544	0.095838	 	83.093	107.1326	0.25883	0.26313	-12.4881	0.031	0.055203
	20190217	4_H1	std	L-Proline_8	101044	0.207		 	104.4317	24.9836	-0.098113	0.080288	-6.8742	-0.044544	0.095838	 	85.544	110.227	0.25883	0.26313	-12.4837	0.031	0.055203
	20190217	4_A2	std	L-Proline_9	101045	0.204		 	99.0057	23.7602	-0.098113	0.080288	-7.0375	-0.044544	0.095838	 	81.88	105.6012	0.25883	0.26313	-12.5045	0.031	0.055203
	20190217	4_B2	std	L-Proline_10	101046	0.208	-6.91245	 	102.3847	24.5221	-0.098113	0.080288	-6.8367	-0.044544	0.095838	 	83.814	108.0429	0.25883	0.26313	-12.5092	0.031	0.055203
	20190217	4_C2	std	Glycine_1	101047	0.205		 	158.0857	37.0812	-0.098113	0.080288	3.1613	-0.044544	0.095838	 	50.124	65.5095	0.25883	0.26313	-42.4509	0.031	0.055203
	20190217	4_D2	std	Glycine_2	101048	0.202		 	156.4847	36.7202	-0.098113	0.080288	3.0365	-0.044544	0.095838	 	50.063	65.4325	0.25883	0.26313	-42.544	0.031	0.055203
	20190217	4_E2	std	Glycine_3	101052	0.205		 	158.1377	37.0929	-0.098113	0.080288	3.111	-0.044544	0.095838	 	50.302	65.7342	0.25883	0.26313	-42.5687	0.031	0.055203
	20190217	4_F2	std	Glycine_4	101053	0.201		 	153.1947	35.9784	-0.098113	0.080288	3.2503	-0.044544	0.095838	 	49.514	64.7394	0.25883	0.26313	-42.4689	0.031	0.055203
	20190217	4_G2	std	Glycine_5	101054	0.204		 	157.5677	36.9644	-0.098113	0.080288	3.3304	-0.044544	0.095838	 	50.525	66.0157	0.25883	0.26313	-42.3851	0.031	0.055203
	20190217	4_H2	std	Glycine_6	101055	0.213		 	168.7377	39.4829	-0.098113	0.080288	3.2441	-0.044544	0.095838	 	54.752	71.3523	0.25883	0.26313	-41.9467	0.031	0.055203
	20190217	4_A3	std	Glycine_7	101056	0.216		 	168.3367	39.3925	-0.098113	0.080288	3.1062	-0.044544	0.095838	 	53.457	69.7174	0.25883	0.26313	-42.5342	0.031	0.055203
	20190217	4_B3	std	Glycine_8	101057	0.211		 	177.3647	41.4281	-0.098113	0.080288	3.2825	-0.044544	0.095838	 	55.924	72.8319	0.25883	0.26313	-42.571	0.031	0.055203
	20190217	4_C3	std	Glycine_9	101058	0.199		 	155.5897	36.5184	-0.098113	0.080288	3.1361	-0.044544	0.095838	 	49.472	64.6863	0.25883	0.26313	-42.5003	0.031	0.055203
	20190217	4_D3	std	Glycine_10	101062	0.211	3.17524	 	163.4957	38.301	-0.098113	0.080288	3.094	-0.044544	0.095838	 	52.316	68.2769	0.25883	0.26313	-42.4437	0.031	0.055203
	20190217	4_E3	std	L-Serine_1	101063	0.211		 	113.8737	27.1125	-0.098113	0.080288	1.3676	-0.044544	0.095838	 	56.169	73.1413	0.25883	0.26313	-32.248	0.031	0.055203
	20190217	4_F3	std	L-Serine_2	101064	0.216		 	118.2197	28.0924	-0.098113	0.080288	1.3543	-0.044544	0.095838	 	58.896	76.5841	0.25883	0.26313	-32.2687	0.031	0.055203
	20190217	4_G3	std	L-Serine_3	101065	0.196		 	101.9987	24.435	-0.098113	0.080288	1.505	-0.044544	0.095838	 	51.733	67.5408	0.25883	0.26313	-30.9429	0.031	0.055203
	20190217	4_H3	std	L-Serine_4	101066	0.216		 	116.0577	27.605	-0.098113	0.080288	1.3898	-0.044544	0.095838	 	57.733	75.1158	0.25883	0.26313	-32.3223	0.031	0.055203
	20190217	4_A4	std	L-Serine_5	101067	0.199		 	110.8347	26.4273	-0.098113	0.080288	1.4353	-0.044544	0.095838	 	55.494	72.2891	0.25883	0.26313	-32.3119	0.031	0.055203
	20190217	4_B4	std	L-Serine_6	101068	0.2		 	105.8867	25.3117	-0.098113	0.080288	1.3421	-0.044544	0.095838	 	53.135	69.3108	0.25883	0.26313	-32.3839	0.031	0.055203
	20190217	4_C4	std	L-Serine_7	101072	0.212		 	113.4697	27.0214	-0.098113	0.080288	1.3682	-0.044544	0.095838	 	56.511	73.573	0.25883	0.26313	-32.4257	0.031	0.055203
	20190217	4_D4	std	L-Serine_8	101073	0.202		 	113.9947	27.1398	-0.098113	0.080288	1.4688	-0.044544	0.095838	 	56.744	73.8672	0.25883	0.26313	-32.2847	0.031	0.055203
	20190217	4_E4	std	L-Serine_9	101074	0.207		 	111.6897	26.6201	-0.098113	0.080288	1.3646	-0.044544	0.095838	 	55.769	72.6363	0.25883	0.26313	-32.4371	0.031	0.055203
	20190217	4_F4	std	L-Serine_10	101075	0.203	1.40833	 	109.9357	26.2246	-0.098113	0.080288	1.4876	-0.044544	0.095838	 	54.305	70.788	0.25883	0.26313	-32.3192	0.031	0.055203
																							
																							
MATLAB SCRIPTS																							
	shrek.m - 180131 and shrek_standards.m - 170118 and shrek_standards.m - 170118																						
																							
SUGGESTED READING																							
	"Fry B, Brand W, Mersch FJ, Tholke K, Garritt R. Automated analysis system for coupled d13C and d15N measurements. Analytical Chemistry 64, 288-291. (1992)."																						
